year,"last_name, first_name",match_name,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
2028,"Duran, Ezequiel","Cabrera, Asdrúbal",91.42857142857144,9.46380952380946,8.038095238095252,46.81047619047604,0.34704761904761927,0.2513238095238095,0.4663142857142848
2025,"Abreu, Wilyer","Yastrzemski, Mike",90.58000000000004,19.600000000000023,10.259999999999991,42.24000000000001,0.3005999999999993,0.21799999999999997,0.3866000000000085
2026,"Abreu, Wilyer","Yastrzemski, Mike",91.07000000000005,19.760000000000048,10.129999999999995,42.44999999999999,0.2887000000000022,0.2126999999999999,0.36720000000000397
2027,"Abreu, Wilyer","Yastrzemski, Mike",91.56000000000006,19.920000000000016,10.0,42.660000000000025,0.2768000000000015,0.2073999999999998,0.34780000000000655
2028,"Abreu, Wilyer","Yastrzemski, Mike",92.05000000000007,20.08000000000004,9.870000000000005,42.870000000000005,0.2649000000000008,0.20209999999999972,0.32840000000000913
2025,"Tovar, Ezequiel","Taylor, Chris",86.8289473684211,20.444736842105613,11.136842105263213,40.39210526315787,0.322473684210526,0.222763157894736,0.4141578947368423
2026,"Tovar, Ezequiel","Taylor, Chris",86.62631578947372,21.664912280702083,11.512280701754435,40.814035087719276,0.3194912280701754,0.21675438596491148,0.4093859649122802
2027,"Tovar, Ezequiel","Taylor, Chris",86.42368421052635,22.885087719298554,11.887719298245656,41.23596491228068,0.31650877192982474,0.21074561403508696,0.4046140350877181
2028,"Tovar, Ezequiel","Taylor, Chris",86.22105263157897,24.105263157895024,12.263157894736878,41.65789473684208,0.3135263157894741,0.20473684210526244,0.3998421052631578
2025,"Rafaela, Ceddanne","Grisham, Trent",90.29999999999995,19.09999999999991,10.400000000000091,36.850000000000136,0.28600000000000136,0.1875000000000071,0.3340000000000032
2026,"Rafaela, Ceddanne","Grisham, Trent",90.84999999999991,20.820000000000164,10.930000000000064,36.18000000000029,0.27090000000000103,0.16950000000000642,0.3072000000000017
2027,"Rafaela, Ceddanne","Grisham, Trent",91.40000000000009,22.539999999999964,11.460000000000036,35.51000000000022,0.2558000000000007,0.15150000000000574,0.2804000000000002
2028,"Rafaela, Ceddanne","Grisham, Trent",91.95000000000005,24.26000000000022,11.990000000000009,34.840000000000146,0.24070000000000036,0.13350000000000506,0.2536000000000058
2025,"Rojas, Johan","Segura, Jean",87.52142857142859,9.757142857142867,7.214285714285666,42.00714285714275,0.339500000000001,0.27057142857142846,0.41557142857142804
2026,"Rojas, Johan","Segura, Jean",87.48214285714288,10.171428571428578,7.721428571428419,43.38214285714275,0.34446428571428633,0.2717857142857145,0.41914285714285615
2027,"Rojas, Johan","Segura, Jean",87.44285714285716,10.585714285714289,8.2285714285714,44.75714285714275,0.34942857142857164,0.27300000000000013,0.42271428571428515
2028,"Rojas, Johan","Segura, Jean",87.40357142857144,11.0,8.735714285714153,46.13214285714275,0.35439285714285695,0.27421428571428574,0.42628571428571327
2025,"Torkelson, Spencer","Yastrzemski, Mike",90.58000000000004,19.600000000000023,10.259999999999991,42.24000000000001,0.3005999999999993,0.21799999999999997,0.3866000000000085
2026,"Torkelson, Spencer","Yastrzemski, Mike",91.07000000000005,19.760000000000048,10.129999999999995,42.44999999999999,0.2887000000000022,0.2126999999999999,0.36720000000000397
2027,"Torkelson, Spencer","Yastrzemski, Mike",91.56000000000006,19.920000000000016,10.0,42.660000000000025,0.2768000000000015,0.2073999999999998,0.34780000000000655
2028,"Torkelson, Spencer","Yastrzemski, Mike",92.05000000000007,20.08000000000004,9.870000000000005,42.870000000000005,0.2649000000000008,0.20209999999999972,0.32840000000000913
2025,"McLain, Matt","Swanson, Dansby",90.05833333333328,13.608333333333348,12.174999999999955,44.85833333333312,0.34525000000000006,0.2550833333333331,0.4691666666666663
2026,"McLain, Matt","Swanson, Dansby",90.35714285714278,13.757142857142867,13.121428571428623,46.23928571428587,0.35050000000000026,0.2558214285714284,0.4801071428571433
2027,"McLain, Matt","Swanson, Dansby",90.65595238095239,13.905952380952385,14.067857142857065,47.620238095238165,0.3557499999999987,0.25655952380952374,0.4910476190476203
2028,"McLain, Matt","Swanson, Dansby",90.95476190476188,14.054761904761904,15.014285714285734,49.00119047619046,0.3609999999999989,0.25729761904761883,0.5019880952380973
2025,"Gelof, Zack","Davis, Chris",83.79999999999995,9.150000000000091,-3.600000000000364,31.949999999999818,0.026499999999998636,0.0589999999999975,-0.09249999999997272
2026,"Gelof, Zack","Davis, Chris",82.8900000000001,8.210000000000036,-5.930000000000291,30.360000000000127,-0.015199999999992997,0.03710000000000235,-0.16759999999996467
2027,"Gelof, Zack","Davis, Chris",81.98000000000002,7.270000000000209,-8.260000000000218,28.769999999999982,-0.05689999999999884,0.015200000000000102,-0.24269999999998504
2028,"Gelof, Zack","Davis, Chris",81.06999999999994,6.330000000000155,-10.590000000000146,27.179999999999836,-0.09860000000000468,-0.006700000000002149,-0.317799999999977
2025,"Stott, Bryson","Crawford, Brandon",87.51428571428568,14.421428571428805,10.542857142856974,40.071428571428555,0.32250000000000006,0.23842857142857143,0.4219285714285715
2026,"Stott, Bryson","Crawford, Brandon",87.34999999999997,14.932142857142935,11.114285714285643,40.50714285714275,0.32282142857142865,0.23678571428571438,0.42210714285714296
2027,"Stott, Bryson","Crawford, Brandon",87.18571428571425,15.442857142857292,11.685714285714084,40.942857142857065,0.32314285714285723,0.23514285714285688,0.4222857142857144
2028,"Stott, Bryson","Crawford, Brandon",87.02142857142854,15.95357142857165,12.257142857142753,41.37857142857138,0.3234642857142857,0.23349999999999982,0.4224642857142858
2025,"Cowser, Colton","Davis, Chris",83.79999999999995,9.150000000000091,-3.600000000000364,31.949999999999818,0.026499999999998636,0.0589999999999975,-0.09249999999997272
2026,"Cowser, Colton","Davis, Chris",82.8900000000001,8.210000000000036,-5.930000000000291,30.360000000000127,-0.015199999999992997,0.03710000000000235,-0.16759999999996467
2027,"Cowser, Colton","Davis, Chris",81.98000000000002,7.270000000000209,-8.260000000000218,28.769999999999982,-0.05689999999999884,0.015200000000000102,-0.24269999999998504
2028,"Cowser, Colton","Davis, Chris",81.06999999999994,6.330000000000155,-10.590000000000146,27.179999999999836,-0.09860000000000468,-0.006700000000002149,-0.317799999999977
2025,"O'Hoppe, Logan","Machado, Manny",91.93636363636364,14.596363636363634,11.443636363636301,49.154545454545314,0.3457090909090912,0.2709636363636361,0.4739454545454542
