"last_name, first_name",match_name,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,xwoba,xba,xslg
"Jung, Josh","Upton, Justin",2028,87.50000000000001,4.4,17.1,48.89999999999999,0.3919999999999998,0.253,0.4360000000000001
"Burleson, Alec","Lindor, Francisco",2025,91.28,13.22,8.46,46.52,0.3502,0.28359999999999996,0.4526
"Burleson, Alec","Lindor, Francisco",2026,93.18,10.920000000000002,8.860000000000001,51.620000000000005,0.32620000000000005,0.27659999999999996,0.4166
"Burleson, Alec","Lindor, Francisco",2027,93.98000000000002,9.820000000000002,7.360000000000001,56.82000000000001,0.31520000000000004,0.27559999999999996,0.35760000000000003
"Burleson, Alec","Lindor, Francisco",2028,95.58000000000003,9.620000000000003,8.46,65.02000000000001,0.3022,0.24959999999999993,0.30760000000000004
"Schneider, Davis","Bellinger, Cody",2025,89.89999999999999,23.099999999999998,16.1,45.0,0.39499999999999996,0.28,0.5609999999999999
"Schneider, Davis","Bellinger, Cody",2026,89.39999999999999,23.5,16.9,47.6,0.44199999999999995,0.327,0.623
"Schneider, Davis","Bellinger, Cody",2027,89.0,27.6,16.6,46.800000000000004,0.39299999999999996,0.30300000000000005,0.5449999999999999
"Schneider, Davis","Bellinger, Cody",2028,87.10000000000001,28.6,14.100000000000001,39.300000000000004,0.39299999999999996,0.3340000000000001,0.5469999999999999
"Rocchio, Brayan","Anderson, Tim",2025,87.1,7.299999999999999,4.3999999999999995,32.0,0.324,0.272,0.395
"Rocchio, Brayan","Anderson, Tim",2026,88.5,3.1999999999999984,9.799999999999999,39.900000000000006,0.40399999999999997,0.33699999999999997,0.539
"Rocchio, Brayan","Anderson, Tim",2027,92.3,-3.3000000000000025,12.899999999999999,54.3,0.45599999999999996,0.394,0.6240000000000001
"Rocchio, Brayan","Anderson, Tim",2028,94.3,-12.100000000000003,11.099999999999998,65.8,0.46299999999999997,0.425,0.6020000000000001
"Duran, Ezequiel","Cabrera, Asdrúbal",2025,88.39999999999999,10.5,7.699999999999999,44.099999999999994,0.333,0.266,0.441
"Duran, Ezequiel","Cabrera, Asdrúbal",2026,89.59999999999998,9.5,9.2,50.4,0.337,0.263,0.451
"Duran, Ezequiel","Cabrera, Asdrúbal",2027,89.79999999999997,8.4,9.2,52.4,0.337,0.247,0.436
"Duran, Ezequiel","Cabrera, Asdrúbal",2028,90.39999999999996,6.6,10.0,57.4,0.337,0.236,0.442
"Abreu, Wilyer","Yastrzemski, Mike",2025,92.0,19.7,11.899999999999999,53.7,0.313,0.228,0.379
"Abreu, Wilyer","Yastrzemski, Mike",2026,92.5,19.900000000000002,11.399999999999999,58.400000000000006,0.32,0.23900000000000002,0.367
"Abreu, Wilyer","Yastrzemski, Mike",2027,93.4,19.600000000000005,11.599999999999998,60.10000000000001,0.303,0.23700000000000002,0.333
"Abreu, Wilyer","Yastrzemski, Mike",2028,94.30000000000001,19.300000000000008,11.799999999999997,61.80000000000001,0.286,0.23500000000000001,0.29900000000000004
"Tovar, Ezequiel","Taylor, Chris",2025,87.57999999999998,9.08,11.84,44.86,0.33979999999999994,0.272,0.477
"Tovar, Ezequiel","Taylor, Chris",2026,86.87999999999998,10.08,13.739999999999998,44.46,0.34779999999999994,0.27,0.49299999999999994
"Tovar, Ezequiel","Taylor, Chris",2027,84.17999999999998,15.180000000000001,15.239999999999998,43.36,0.33879999999999993,0.25300000000000006,0.48899999999999993
"Tovar, Ezequiel","Taylor, Chris",2028,81.47999999999998,20.28,16.74,42.26,0.3297999999999999,0.23600000000000007,0.48499999999999993
"Rafaela, Ceddanne","Grisham, Trent",2025,86.1,17.7,10.399999999999999,35.6,0.26,0.193,0.358
"Rafaela, Ceddanne","Grisham, Trent",2026,87.6,23.7,17.1,38.800000000000004,0.273,0.17,0.386
"Rafaela, Ceddanne","Grisham, Trent",2027,89.1,29.7,23.8,42.00000000000001,0.28600000000000003,0.14700000000000002,0.41400000000000003
"Rafaela, Ceddanne","Grisham, Trent",2028,90.6,35.699999999999996,30.5,45.20000000000001,0.29900000000000004,0.12400000000000003,0.44200000000000006
"Rojas, Johan","Segura, Jean",2025,84.3,3.5999999999999996,-0.20000000000000018,28.1,0.22599999999999998,0.22300000000000003,0.235
"Rojas, Johan","Segura, Jean",2026,83.0,3.499999999999999,-2.5,26.6,0.19699999999999995,0.22200000000000003,0.16899999999999998
"Rojas, Johan","Segura, Jean",2027,82.2,2.799999999999999,-5.2,25.500000000000007,0.16799999999999993,0.21800000000000003,0.11099999999999999
"Rojas, Johan","Segura, Jean",2028,80.9,6.099999999999998,-5.000000000000001,30.20000000000001,0.1469999999999999,0.194,0.04299999999999998
"Torkelson, Spencer","Yastrzemski, Mike",2025,90.52000000000001,19.46,10.459999999999999,47.38,0.3054,0.2248,0.3652
"Torkelson, Spencer","Yastrzemski, Mike",2026,91.02000000000001,19.660000000000004,9.959999999999999,52.080000000000005,0.3124,0.2358,0.3532
"Torkelson, Spencer","Yastrzemski, Mike",2027,91.92000000000002,19.360000000000007,10.159999999999998,53.78000000000001,0.2954,0.2338,0.31920000000000004
